
DECIMAL       HEXADECIMAL     DESCRIPTION
44572672      0x2A82000       UBIFS filesystem master node, CRC: 0x88D2E1DD, highest inode: 66, commit number: 42
44574720      0x2A82800       UBIFS filesystem master node, CRC: 0xB888138F, highest inode: 66, commit number: 43
44576768      0x2A83000       UBIFS filesystem master node, CRC: 0x6AEFB5BE, highest inode: 66, commit number: 44
44578816      0x2A83800       UBIFS filesystem master node, CRC: 0xECF587D5, highest inode: 66, commit number: 44
44580864      0x2A84000       UBIFS filesystem master node, CRC: 0xD38E45D2, highest inode: 66, commit number: 45
44582912      0x2A84800       UBIFS filesystem master node, CRC: 0x916DED13, highest inode: 66, commit number: 46
44584960      0x2A85000       UBIFS filesystem master node, CRC: 0xB11510B0, highest inode: 66, commit number: 47
44587008      0x2A85800       UBIFS filesystem master node, CRC: 0xA5440F97, highest inode: 66, commit number: 47
44589056      0x2A86000       UBIFS filesystem master node, CRC: 0xC3D6B827, highest inode: 66, commit number: 48
44591104      0x2A86800       UBIFS filesystem master node, CRC: 0xD787A700, highest inode: 66, commit number: 48
44593152      0x2A87000       UBIFS filesystem master node, CRC: 0xFC99FA2B, highest inode: 66, commit number: 49
44595200      0x2A87800       UBIFS filesystem master node, CRC: 0x708DDEA6, highest inode: 66, commit number: 50
44597248      0x2A88000       UBIFS filesystem master node, CRC: 0xCC2166A2, highest inode: 66, commit number: 51
44599296      0x2A88800       UBIFS filesystem master node, CRC: 0xC01193BF, highest inode: 66, commit number: 51
44601344      0x2A89000       UBIFS filesystem master node, CRC: 0xEA930A58, highest inode: 66, commit number: 52
44603392      0x2A89800       UBIFS filesystem master node, CRC: 0x2042B567, highest inode: 66, commit number: 53
44605440      0x2A8A000       UBIFS filesystem master node, CRC: 0xA03D04BE, highest inode: 66, commit number: 54
44607488      0x2A8A800       UBIFS filesystem master node, CRC: 0xE5286705, highest inode: 66, commit number: 54
44609536      0x2A8B000       UBIFS filesystem master node, CRC: 0x4F63020C, highest inode: 66, commit number: 55
44611584      0x2A8B800       UBIFS filesystem master node, CRC: 0x3984E561, highest inode: 66, commit number: 56
44613632      0x2A8C000       UBIFS filesystem master node, CRC: 0x76B67F51, highest inode: 66, commit number: 57
44615680      0x2A8C800       UBIFS filesystem master node, CRC: 0x62E76076, highest inode: 66, commit number: 57
44617728      0x2A8D000       UBIFS filesystem master node, CRC: 0xD3F44C9C, highest inode: 66, commit number: 58
44619776      0x2A8D800       UBIFS filesystem master node, CRC: 0x79B12EF9, highest inode: 66, commit number: 59
44621824      0x2A8E000       UBIFS filesystem master node, CRC: 0x1BC2162, highest inode: 66, commit number: 60
44623872      0x2A8E800       UBIFS filesystem master node, CRC: 0x15ED3E45, highest inode: 66, commit number: 60
44625920      0x2A8F000       UBIFS filesystem master node, CRC: 0x2C951799, highest inode: 66, commit number: 61
44627968      0x2A8F800       UBIFS filesystem master node, CRC: 0x3BA3360D, highest inode: 66, commit number: 62
44630016      0x2A90000       UBIFS filesystem master node, CRC: 0xCDDE317A, highest inode: 66, commit number: 63
44632064      0x2A90800       UBIFS filesystem master node, CRC: 0xA4AE02D7, highest inode: 66, commit number: 64
44634112      0x2A91000       UBIFS filesystem master node, CRC: 0x45547C1A, highest inode: 66, commit number: 65
44636160      0x2A91800       UBIFS filesystem master node, CRC: 0x9EDE5D8A, highest inode: 66, commit number: 66
44638208      0x2A92000       UBIFS filesystem master node, CRC: 0x18599EF9, highest inode: 66, commit number: 66
44640256      0x2A92800       UBIFS filesystem master node, CRC: 0x8A8F42AD, highest inode: 66, commit number: 66
44642304      0x2A93000       UBIFS filesystem master node, CRC: 0x79C2EC93, highest inode: 66, commit number: 67
44644352      0x2A93800       UBIFS filesystem master node, CRC: 0x4574C29A, highest inode: 66, commit number: 68
44646400      0x2A94000       UBIFS filesystem master node, CRC: 0x5125DDBD, highest inode: 66, commit number: 68
44648448      0x2A94800       UBIFS filesystem master node, CRC: 0xD1FF8B53, highest inode: 66, commit number: 69
44650496      0x2A95000       UBIFS filesystem master node, CRC: 0xC5AE9474, highest inode: 66, commit number: 69
44652544      0x2A95800       UBIFS filesystem master node, CRC: 0x9B45448E, highest inode: 66, commit number: 70
